ID,smiles,docking_score,flag,split
155512734,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1NC(=O)c1ccccc1,-10.848,1,train
164624213,CC(C)(O)COc1nc(OCCC(F)(F)F)c(CO)cc1-c1ccc(S(C)(=O)=O)cc1,-8.239,1,train
11725257,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,-10.347,1,train
10177830,COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1F,-10.806,1,train
25261944,CCCn1cc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(CO)cc2)c1O,-11.545,1,train
10762494,CS(=O)(=O)c1ccc(-n2cc(C(F)F)nc2-c2ccc(Cl)cc2)cc1,-9.953,1,train
44394272,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1F,-11.12,1,train
10759852,NS(=O)(=O)c1ccc(-n2ncc([N+](=O)[O-])c2-c2ccccc2)cc1,-10.502,1,train
11301001,CS(=O)(=O)Nc1ccncc1Oc1ccccc1Cl,-7.252,1,train
155511187,Cc1cccc(C=CC2=NNC(=O)CC2)c1,-6.115,1,train
10406106,CCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,-5.033,1,train
10646043,Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc2c1OCO2,-11.842,1,train
18969768,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)[C@@H]1O,-10.042,1,train
44366550,CCc1ccc(/C=C/S(N)(=O)=O)cc1C(=O)c1ccccc1,-9.781,1,train
10224979,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2Cl)cc1,-10.976,1,train
44456716,NS(=O)(=O)c1ccc(-c2nc(NCc3ccco3)cc(C(F)(F)F)n2)cc1,-11.0,1,train
72792469,CCCCCCNC(=O)Oc1cccc(-c2ccc(C(C)C(=O)O)cc2F)c1,-7.078,1,train
44394150,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)ccc(F)c2F)cc1C,-11.773,1,train
10134425,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cc1,-11.542,1,train
10339727,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(CF)(CF)C2)cc1,-11.253,1,train
10712340,CS(=O)(=O)c1ccc(C2=C(c3ccc4c(c3)OCO4)CCC2)cc1,-10.76,1,train
8813955,O=C(/C=C\c1cccs1)c1cccc(-n2cnnn2)c1,-8.639,1,train
10269175,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1F,-10.485,1,train
155567336,COc1ccc(/C=N/c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1,-9.957,1,train
10362365,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)cc2)cc1,-11.424,1,train
45270285,CC(C)Oc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,-9.471,1,train
10992868,CCSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,-10.227,1,train
X102,COc1ccncc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,-10.193,1,train
10764155,CSc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,-11.499,1,train
