ID,smiles,docking_score,flag,split,Fingerprint,TSNE_1,TSNE_2
CHEMBL150859,Cc1cc(-c2[nH]nc3c2C(=O)c2c(NC(N)=O)cccc2-3)c(C)s1,-10.331,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d4d0>,-50.176983,-18.499058
130196857,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,-10.989,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d5b0>,46.90823,23.495808
CHEMBL269882,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4n[nH]c(Cl)c4c32)cc1,-8.482,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d690>,-37.647385,21.254166
71517855,CC(C)[C@@H](CO)Nc1nc(Nc2cccnc2)c2ncn(C(C)C)c2n1,-9.893,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d770>,35.079323,-28.378332
CHEMBL312726,NCCCc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,-10.579,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d850>,-53.276974,6.5789824
CHEMBL269883,CC(C)COC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,-9.793,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d930>,-40.954025,19.549932
172452857,CCc1cnn2c(NCc3nc4ccc(F)c(F)c4[nH]3)cc(N3CCCC[C@H]3CCO)nc12,-9.271,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0da10>,21.689747,-31.572832
52942083,Cn1cc(C(N)=O)c2c1-c1nc(NC3CCN(S(=O)(=O)c4ccccc4)CC3)ncc1CC2,-10.762,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0daf0>,29.037014,52.212006
129206982,Nc1nccc(-c2c[nH]c3ncc(-c4ccc(F)cc4)cc23)n1,-8.853,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0dbd0>,-11.380448,10.67803
CHEMBL232749,Cc1cc(N2CCCS2(=O)=O)c2oc(-c3ccc(O)cc3)c(O)c(=O)c2c1,-8.984,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0dcb0>,-29.903063,-7.6827602
162644550,NC(=O)c1cccc(-c2ccc(F)c(C(=O)Nc3c[nH]nc3C(=O)Nc3ccc(F)cc3)c2F)c1,-9.502,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0dd90>,-11.988778,-44.3875
171346876,NC[C@@H](CNc1cncc(-c2ccc3[nH]nc(NC(=O)c4ccccc4)c3c2)c1)c1ccccc1,-11.574,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0de70>,-24.342012,-41.91812
44389636,CCCCNS(=O)(=O)n1[nH]c(C(N)=O)c2ccc3nncc3c21,-8.681,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0df50>,-18.733095,23.69686
10156756,CC[C@@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(C)(C)O,-9.302,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e030>,39.08091,-35.16186
11284129,N[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)n3ncc(Br)c3n2)CC1,-9.643,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e110>,28.380415,-11.106214
71579157,CC[C@@H](CO)Nc1nc(NCc2cccc(OC)c2O)c2ncn(C(C)C)c2n1,-10.204,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e1f0>,39.71775,-31.628654
57387301,C[C@@H](/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O,-7.184,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e2d0>,-3.73317,-16.008852
56935464,Nc1scc2c1c(NCCO)nc1ncnc(N)c12,-8.602,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e3b0>,-1.6421343,-9.893649
130196675,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CCCC1,-10.674,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e490>,46.368923,22.93028
78357764,CC(C)c1c2cc(-c3ccnc(N[C@H]4CC[C@H](NC5CCOCC5)CC4)n3)ccc2nn1C,-9.809,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e570>,1.2055726,17.66588
71654228,CC(C)n1cnc2c(NC(=N)N)nc(NCCO)nc21,-7.309,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e650>,40.458363,-27.687954
52949286,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(F)cc1)C(N)=O,-5.503,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e730>,-11.012818,-27.205347
45486156,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,-8.884,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e810>,-9.369661,-5.151594
71458574,CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(C)c(S(=O)(=O)N(C)C)c4)n3)ccn2)cc1,-8.421,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e8f0>,1.0500149,24.721865
CHEMBL289422,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1,-8.436,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0e9d0>,-40.113804,-1.709301
24769304,O=C(CNc1ccc(Cl)c(O)c1)Nc1nc2ccc3[nH]ncc3c2s1,-6.965,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0eab0>,-36.935577,38.477703
145444297,FC(F)(F)c1cnc(N[C@H]2CCCNC2)nc1-c1c[nH]c2cc(-c3ccncc3)ccc12,-9.752,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0eb90>,0.6156331,69.3681
145988646,CSc1ncc2c(n1)CCc1cnc(Nc3ccc(Cl)cc3)nc1-2,-9.492,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0ec70>,32.335957,33.9709
CHEMBL324942,O=C(Nc1cc(C2CC2)[nH]n1)c1ccccc1,-8.682,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0ed50>,-18.828173,-24.779558
5327096,CC(C)c1cnc(NC(=O)Cc2cccnc2)s1,-8.612,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0ee30>,-4.5683427,-26.419453
137333456,Nc1nc(N[C@@H]2C[C@H]3CC[C@@H]2C3)sc1C(=O)c1ccccc1[N+](=O)[O-],-8.639,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0ef10>,1.9237912,-7.4587893
135434968,CC(C)c1cccc2[nH]c(O)c(/N=N/c3ccc(S(N)(=O)=O)cc3)c12,-8.459,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0eff0>,-26.48401,12.413081
52945652,CNC(=O)c1cn(C)c2c1CCc1cnc(NC3CCN(S(=O)(=O)c4ccccc4)CC3)nc1-2,-9.721,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0f0d0>,28.966373,52.31751
162666785,CC(=O)NCc1cccc(-c2ccc3c(-c4nc(N[C@H]5CCCNC5)ncc4C(F)(F)F)c[nH]c3c2)c1,-11.267,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0f1b0>,2.7362025,70.76325
