ID,smiles,docking_score,flag,split_1,split_2,split_3,split_4,split_5
ZINC39709346,CCc1cccc2c1=NCC=2C(=O)CS[C@H]1NN[C@H](c2ccc(Cl)cc2)[N@]1CC(=O)O,-7.265,0,train,train,train,train,val
CHEMBL3298982,O=C(N[C@H](CO)c1ccc(Cl)c(Cl)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,-10.329,1,train,val,train,train,train
ZINC39941733,CCOC(=O)C1=C2CCCC[C@@H]2S[C@H]1NC(=O)C(=O)N/N=C/[C@H]1C=c2ccccc2=NC1=O,-7.018,0,train,train,train,train,train
ZINC64520688,Cn1nc(C(=O)N2CCCC2)c2c1CCN(C(=O)CCC(=O)NCCC1=c3ccccc3=NC1)C2,-7.12,0,train,val,train,train,train
ZINC55107590,Cc1ccc(C[N@]2CCNC(=O)[C@H]2CC(=O)NCCc2nc3ccccc3n2C)o1,-8.39,0,train,train,train,val,train
135402949,CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccccc3OC)[nH]c(=O)c12,-9.573,1,train,train,train,train,train
172466170,N[C@H]1CC[C@@H](Nc2cc(Nc3ccc(S(=O)(=O)N4CCCC4)cc3)c3ncc(C4=CCCC4)n3n2)CC1,-9.614,1,train,train,train,train,val
130196717,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CC[N@](CCN(C)CCNC(=N)N)C5)ncc3F)cc2n1C(C)C,-12.565,1,train,train,train,train,val
ZINC39315449,N#CC1=C(N)OC2=c3ccccc3=NC(=O)[C@H]2[C@@H]1c1ccccc1C(F)(F)F,-4.281,0,train,train,train,train,val
ZINC20562398,CCN1CCc2c(sc3c2C(=O)N[C@@H](c2c(F)cccc2Cl)N3)C1,-8.361,0,train,train,train,val,train
ZINC63478738,CC[N@@]1CCC2=c3ccccc3=N[C@@H]2[C@@H]1c1c(O)[nH]c(=O)n(-c2cccc(Cl)c2)c1=O,-6.715,0,train,train,train,val,train
ZINC56249571,CCC[C@H]1CC[C@H](NC(=O)[C@@H]2CC(=O)Nc3ccccc32)CC1,-6.506,0,train,train,train,train,val
172450603,CC(C)c1cc(N[C@H]2C[C@@H](Nc3ccccc3)C2)n2nccc2n1,-8.223,1,train,train,val,train,train
ZINC19332954,O[C@@H](C[N@]1CCC[C@@](O)(c2ccc(F)cc2)CC1)c1ccc2c(c1)OCCCO2,-8.147,0,train,train,train,train,train
135873214,O=Nc1c(-c2c(O)[nH]c3ccc(Cl)cc23)[nH]c2ccc(O)cc12,-9.421,1,train,train,train,train,val
438981,Nc1[nH]nc2nc3ccccc3nc12,-8.676,1,train,val,train,train,train
134140824,CCc1cc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O,-9.614,1,train,train,train,train,train
57951327,CNC(=O)Nc1cc(NC(C)(C)C(=O)Nc2nc3c(C(F)(F)F)cc4[nH]ncc4c3s2)ccc1Cl,-3.246,1,train,train,val,train,train
135403013,COc1ccc(-c2[nH][nH]c3c4cccc(NC(=O)/N=N/C(C)=O)c4c(O)c2-3)cc1,-5.488,1,train,train,train,train,val
10021108,CC[C@@H](CO)Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1,-9.934,1,train,train,val,train,train
ZINC02975474,N/C(=N\N=C\c1ccccc1[N+](=O)[O-])S[C@@H]1CC(=O)N(c2ccc(Br)cc2)C1=O,-7.754,0,train,val,train,train,train
171343569,C=CC(=O)Nc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cncc(N[C@H](CO)Cc5ccccc5)c4)cc23)cc1,-11.001,1,train,train,train,val,train
CHEMBL27275,COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)Cc4ccc(N)cc4)cccc2-3)cc1,-10.912,1,train,train,val,train,train
135421134,C/C(=N\c1ccc(S(N)(=O)=O)cc1)c1c(O)[nH]c2ccccc12,-9.453,1,train,train,train,train,train
142751880,CSc1cnc(N[C@H]2CCCNC2)nc1-c1c[nH]c2cc(C#N)ccc12,-8.7,1,train,train,train,train,val
ZINC12375009,N#CC1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1ccc(Cl)s1,-7.013,0,train,train,train,train,train
137642179,Cc1cccc(C(=O)N[C@H]2C[C@H](n3cnc4c(NCc5ccc(F)cc5)ncnc43)C2)n1,-6.579,1,train,train,train,val,train
ZINC09238909,CCOc1ccc([C@H]2Nn3c(C)nnc3S[C@@H]2C(=O)Nc2ccc(C)c(Cl)c2)cc1,-6.156,0,train,train,train,train,val
CHEMBL3298678,O=C(N[C@H](CO)c1ccc(Cl)c(F)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,-10.096,1,train,train,val,train,train
ZINC36071852,CCOC(=O)C1CCN(C(=O)Cc2csc3[n+]2[C@H](c2ccsc2)/C(=C(/[O-])OC(C)C)C(C)=N3)CC1,-3.757,0,train,train,train,val,train
ZINC05687098,Cc1nc2c([nH]1)[C@H](c1ccc(C(C)C)cc1)C(C#N)=C(C#N)O2,-6.435,0,train,train,train,train,train
5330047,O=C(Nc1cccc2c1C(=O)c1c-2n[nH]c1-c1ccc(C(=O)N2CCNCC2)s1)NN1CCOCC1,-10.451,1,train,val,train,train,train
146646204,CN(C)C/C=C\C(=O)Nc1ccc(S(=O)(=O)N2CCC[C@@H](Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1,-6.598,1,train,train,train,train,train
16224365,Nc1cc([C@@H]2CCCNC2)nc2c(-c3cccs3)cnn12,-9.025,1,train,val,train,train,train
52949286,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(F)cc1)C(N)=O,-5.503,1,train,train,train,val,train
155525972,CC(C)c1[nH]nc2c(NCc3ccc(-c4ccccn4)cc3)nc(SCCNC(N)=O)nc12,-10.911,1,train,train,train,train,val
ZINC38654875,Cc1cc(C)cc(OCC(=O)Oc2ccc3c(c2)OC(N)=C(C#N)[C@H]3c2ccc([N+](=O)[O-])cc2)c1,-6.316,0,train,train,val,train,train
137628639,C[N@]1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(/C=C/c4c(Cl)cccc4Cl)oc23)[C@@H](O)C1,-7.24,1,train,train,train,train,train
ZINC40400491,Cc1ccc(Nc2nc(=O)c3c([nH]2)NC(=O)C[C@@H]3C(=O)Nc2ccc(C)c([N+](=O)[O-])c2)cc1,-8.505,0,train,train,train,train,train
ZINC16134338,COc1cc(/C=N\NC(=O)[C@@H]2C(=O)NC[C@H]2c2ccccc2)c(Br)c(Br)c1O,-6.368,0,train,train,train,val,train
52949463,CNC(=O)c1cn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(N(C)C)c3)nc1-2,-9.473,1,train,train,train,val,train
CHEMBL1760035,COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC,-7.694,1,train,train,train,train,val
60198530,Cc1cc(Nc2ncc3c(n2)CN(C(=O)N[C@@H](C)c2ccc(Cl)c(Cl)c2)CC3)ccn1,-7.288,1,train,train,train,train,val
162640599,Cc1[nH]nc2ccc(-c3cc(N[C@H](CO)c4ccccc4)cnc3Cl)cc12,-9.355,1,train,train,val,train,train
